Period Start,Period end,Time open,Time close,Price open,Price close,Price low,Price high,Volume traded,Trades count
2019-08-10T08:00:00.0000000Z,2019-08-10T09:00:00.0000000Z,2019-08-10T08:00:17.9600000Z,2019-08-10T08:59:53.5740000Z,11829.38,11847.95,11820.65,11880.21,119.31493618,312
2019-08-10T09:00:00.0000000Z,2019-08-10T10:00:00.0000000Z,2019-08-10T09:00:19.2100000Z,2019-08-10T09:59:55.5370000Z,11833.0,11889.03,11831.71,11889.03,146.38405334,362
2019-08-10T10:00:00.0000000Z,2019-08-10T11:00:00.0000000Z,2019-08-10T10:00:08.3810000Z,2019-08-10T10:59:34.2100000Z,11889.03,11871.63,11835.89,11894.83,194.20401057,382
2019-08-10T11:00:00.0000000Z,2019-08-10T12:00:00.0000000Z,2019-08-10T11:00:04.2910000Z,2019-08-10T11:59:59.9310000Z,11871.69,11352.71,11200.0,11871.69,1845.10984321,3505
2019-08-10T12:00:00.0000000Z,2019-08-10T13:00:00.0000000Z,2019-08-10T12:00:02.7970000Z,2019-08-10T12:59:59.1660000Z,11354.97,11400.0,11257.0,11421.43,688.52166732,1489
2019-08-10T13:00:00.0000000Z,2019-08-10T14:00:00.0000000Z,2019-08-10T13:00:06.0440000Z,2019-08-10T13:59:50.5240000Z,11397.46,11410.94,11339.77,11445.94,564.8724953,1090
2019-08-10T14:00:00.0000000Z,2019-08-10T15:00:00.0000000Z,2019-08-10T14:00:08.4380000Z,2019-08-10T14:59:58.1950000Z,11404.35,11381.76,11303.93,11412.98,173.46877365,532
2019-08-10T15:00:00.0000000Z,2019-08-10T16:00:00.0000000Z,2019-08-10T15:00:10.0370000Z,2019-08-10T15:59:18.0740000Z,11376.69,11394.68,11345.41,11403.78,126.23282367,425
2019-08-10T16:00:00.0000000Z,2019-08-10T17:00:00.0000000Z,2019-08-10T16:00:03.9720000Z,2019-08-10T16:59:34.4800000Z,11384.47,11330.19,11303.93,11388.07,151.93101425,425
2019-08-10T17:00:00.0000000Z,2019-08-10T18:00:00.0000000Z,2019-08-10T17:00:05.8900000Z,2019-08-10T17:59:54.9890000Z,11335.75,11363.43,11239.54,11397.98,317.57308617,596
2019-08-10T18:00:00.0000000Z,2019-08-10T19:00:00.0000000Z,2019-08-10T18:00:04.4130000Z,2019-08-10T18:59:49.0100000Z,11365.0,11351.66,11295.77,11375.0,250.48230138,436
2019-08-10T19:00:00.0000000Z,2019-08-10T20:00:00.0000000Z,2019-08-10T19:00:26.5650000Z,2019-08-10T19:59:35.7440000Z,11348.48,11296.47,11234.98,11354.35,157.37493083,409
2019-08-10T20:00:00.0000000Z,2019-08-10T21:00:00.0000000Z,2019-08-10T20:00:17.6870000Z,2019-08-10T20:59:53.7440000Z,11298.11,11316.58,11286.0,11366.74,114.59373138,322
2019-08-10T21:00:00.0000000Z,2019-08-10T22:00:00.0000000Z,2019-08-10T21:00:10.2320000Z,2019-08-10T21:59:49.1810000Z,11318.31,11289.0,11228.0,11356.82,199.84442027,545
2019-08-10T22:00:00.0000000Z,2019-08-10T23:00:00.0000000Z,2019-08-10T22:00:29.6730000Z,2019-08-10T22:59:21.1480000Z,11288.99,11292.04,11233.12,11299.0,196.51298891,405
2019-08-10T23:00:00.0000000Z,2019-08-11T00:00:00.0000000Z,2019-08-10T23:00:38.0260000Z,2019-08-10T23:59:56.0220000Z,11295.55,11273.2,11273.2,11331.32,200.72668856,316
2019-08-11T00:00:00.0000000Z,2019-08-11T01:00:00.0000000Z,2019-08-11T00:00:03.5470000Z,2019-08-11T00:59:47.5140000Z,11273.03,11377.54,11252.18,11417.39,466.13170089,550
2019-08-11T01:00:00.0000000Z,2019-08-11T02:00:00.0000000Z,2019-08-11T01:00:14.8880000Z,2019-08-11T01:59:53.5520000Z,11377.32,11347.67,11323.63,11377.32,295.11389119,498
2019-08-11T02:00:00.0000000Z,2019-08-11T03:00:00.0000000Z,2019-08-11T02:00:13.5810000Z,2019-08-11T02:59:42.3050000Z,11347.61,11349.64,11324.41,11359.83,111.60103258,564
2019-08-11T03:00:00.0000000Z,2019-08-11T04:00:00.0000000Z,2019-08-11T03:00:08.7480000Z,2019-08-11T03:59:45.5490000Z,11342.86,11373.0,11334.59,11400.18,527.68141216,664
2019-08-11T04:00:00.0000000Z,2019-08-11T05:00:00.0000000Z,2019-08-11T04:00:02.3310000Z,2019-08-11T04:59:29.8820000Z,11373.7,11344.31,11344.31,11403.0,53.52680812,299
2019-08-11T05:00:00.0000000Z,2019-08-11T06:00:00.0000000Z,2019-08-11T05:00:19.3770000Z,2019-08-11T05:59:55.7750000Z,11352.42,11347.43,11332.0,11368.05,81.82648005,271
2019-08-11T06:00:00.0000000Z,2019-08-11T07:00:00.0000000Z,2019-08-11T06:00:06.6270000Z,2019-08-11T06:59:59.0470000Z,11347.43,11336.71,11304.03,11365.97,91.45963079,266
2019-08-11T07:00:00.0000000Z,2019-08-11T08:00:00.0000000Z,2019-08-11T07:00:06.4530000Z,2019-08-11T07:59:54.4990000Z,11336.71,11343.12,11320.75,11350.0,44.88488492,279
2019-08-11T08:00:00.0000000Z,2019-08-11T09:00:00.0000000Z,2019-08-11T08:00:01.7130000Z,2019-08-11T08:59:24.1750000Z,11343.12,11312.6,11253.81,11358.69,148.79569038,325
2019-08-11T09:00:00.0000000Z,2019-08-11T10:00:00.0000000Z,2019-08-11T09:00:13.7010000Z,2019-08-11T09:59:52.2490000Z,11302.99,11344.06,11080.37,11377.49,625.24725662,1220
2019-08-11T10:00:00.0000000Z,2019-08-11T11:00:00.0000000Z,2019-08-11T10:00:18.1050000Z,2019-08-11T10:59:33.1800000Z,11359.31,11316.75,11308.1,11388.92,114.28451629,359
2019-08-11T11:00:00.0000000Z,2019-08-11T12:00:00.0000000Z,2019-08-11T11:00:10.8340000Z,2019-08-11T11:59:59.1500000Z,11331.25,11458.84,11331.25,11466.55,207.75755816,433
2019-08-11T12:00:00.0000000Z,2019-08-11T13:00:00.0000000Z,2019-08-11T12:00:05.5820000Z,2019-08-11T12:59:48.7010000Z,11458.84,11448.04,11400.0,11467.8,61.13753807,327
2019-08-11T13:00:00.0000000Z,2019-08-11T14:00:00.0000000Z,2019-08-11T13:00:12.1580000Z,2019-08-11T13:59:57.6470000Z,11447.37,11382.95,11364.25,11462.0,60.69937883,251
2019-08-11T14:00:00.0000000Z,2019-08-11T15:00:00.0000000Z,2019-08-11T14:00:26.0460000Z,2019-08-11T14:59:25.5860000Z,11380.12,11371.44,11355.06,11418.85,66.74775962,252
2019-08-11T15:00:00.0000000Z,2019-08-11T16:00:00.0000000Z,2019-08-11T15:00:32.1420000Z,2019-08-11T15:59:01.1660000Z,11371.5,11369.86,11332.85,11405.12,42.56489928,235
2019-08-11T16:00:00.0000000Z,2019-08-11T17:00:00.0000000Z,2019-08-11T16:00:06.7050000Z,2019-08-11T16:59:51.8770000Z,11355.0,11395.85,11351.15,11424.26,59.53363845,300
2019-08-11T17:00:00.0000000Z,2019-08-11T18:00:00.0000000Z,2019-08-11T17:00:06.1250000Z,2019-08-11T17:59:09.3820000Z,11379.6,11354.58,11354.58,11396.06,42.97549553,270
2019-08-11T18:00:00.0000000Z,2019-08-11T19:00:00.0000000Z,2019-08-11T18:00:15.2260000Z,2019-08-11T18:59:59.5830000Z,11358.48,11381.51,11345.83,11403.79,54.34926407,234
2019-08-11T19:00:00.0000000Z,2019-08-11T20:00:00.0000000Z,2019-08-11T19:00:32.4000000Z,2019-08-11T19:59:53.2480000Z,11375.93,11369.0,11349.55,11387.97,28.10858953,181
2019-08-11T20:00:00.0000000Z,2019-08-11T21:00:00.0000000Z,2019-08-11T20:00:17.6090000Z,2019-08-11T20:59:54.3760000Z,11369.0,11408.46,11276.41,11430.0,196.32481811,410
2019-08-11T21:00:00.0000000Z,2019-08-11T22:00:00.0000000Z,2019-08-11T21:00:06.4120000Z,2019-08-11T21:59:54.3890000Z,11411.74,11505.03,11397.16,11570.04,677.01640732,956
2019-08-11T22:00:00.0000000Z,2019-08-11T23:00:00.0000000Z,2019-08-11T22:00:04.4340000Z,2019-08-11T22:59:52.7510000Z,11505.03,11500.0,11468.49,11519.21,109.07487119,350
2019-08-11T23:00:00.0000000Z,2019-08-12T00:00:00.0000000Z,2019-08-11T23:00:12.7800000Z,2019-08-11T23:59:59.1180000Z,11500.0,11528.73,11491.4,11589.73,194.54716967,365
2019-08-12T00:00:00.0000000Z,2019-08-12T01:00:00.0000000Z,2019-08-12T00:00:00.6670000Z,2019-08-12T00:59:55.8220000Z,11527.44,11473.44,11430.0,11551.57,145.11792951,391
2019-08-12T01:00:00.0000000Z,2019-08-12T02:00:00.0000000Z,2019-08-12T01:00:10.1580000Z,2019-08-12T01:59:58.6920000Z,11473.43,11487.95,11450.01,11521.36,44.35486795,236
2019-08-12T02:00:00.0000000Z,2019-08-12T03:00:00.0000000Z,2019-08-12T02:00:09.6140000Z,2019-08-12T02:59:58.2600000Z,11479.26,11433.34,11405.0,11494.61,79.46011494,319
2019-08-12T03:00:00.0000000Z,2019-08-12T04:00:00.0000000Z,2019-08-12T03:00:17.1880000Z,2019-08-12T03:59:36.9520000Z,11431.68,11435.57,11391.13,11451.2,51.65013002,273
2019-08-12T04:00:00.0000000Z,2019-08-12T05:00:00.0000000Z,2019-08-12T04:00:00.6690000Z,2019-08-12T04:59:51.2850000Z,11437.29,11417.63,11403.61,11465.72,45.65622441,213
2019-08-12T05:00:00.0000000Z,2019-08-12T06:00:00.0000000Z,2019-08-12T05:00:25.1930000Z,2019-08-12T05:59:53.5730000Z,11417.6,11385.0,11353.65,11436.62,125.66002914,321
2019-08-12T06:00:00.0000000Z,2019-08-12T07:00:00.0000000Z,2019-08-12T06:00:12.3690000Z,2019-08-12T06:59:42.1490000Z,11370.35,11363.55,11311.3,11404.17,148.99529866,405
2019-08-12T07:00:00.0000000Z,2019-08-12T08:00:00.0000000Z,2019-08-12T07:00:01.9450000Z,2019-08-12T07:59:21.5510000Z,11357.4,11402.25,11328.55,11415.74,147.32084722,390
2019-08-12T08:00:00.0000000Z,2019-08-12T09:00:00.0000000Z,2019-08-12T08:00:03.9070000Z,2019-08-12T08:59:52.7190000Z,11386.19,11351.09,11284.0,11402.25,208.90798202,381
2019-08-12T09:00:00.0000000Z,2019-08-12T10:00:00.0000000Z,2019-08-12T09:00:00.0080000Z,2019-08-12T09:59:58.5650000Z,11352.91,11350.87,11326.68,11377.82,64.91410045,308
2019-08-12T10:00:00.0000000Z,2019-08-12T11:00:00.0000000Z,2019-08-12T10:00:01.3690000Z,2019-08-12T10:59:49.1540000Z,11350.85,11368.47,11335.0,11394.74,133.97181302,399
2019-08-12T11:00:00.0000000Z,2019-08-12T12:00:00.0000000Z,2019-08-12T11:00:08.2170000Z,2019-08-12T11:59:49.0650000Z,11377.79,11309.86,11283.97,11384.19,99.71417946,437
2019-08-12T12:00:00.0000000Z,2019-08-12T13:00:00.0000000Z,2019-08-12T12:00:36.3230000Z,2019-08-12T12:59:35.5900000Z,11323.6,11390.73,11194.04,11410.88,705.21170934,1134
2019-08-12T13:00:00.0000000Z,2019-08-12T14:00:00.0000000Z,2019-08-12T13:00:06.2990000Z,2019-08-12T13:59:48.8650000Z,11379.27,11374.34,11340.02,11399.08,135.27260467,474
2019-08-12T14:00:00.0000000Z,2019-08-12T15:00:00.0000000Z,2019-08-12T14:00:03.5880000Z,2019-08-12T14:59:42.3620000Z,11364.31,11366.97,11343.28,11390.59,81.64206482,405
